,
pchomepay_payment_checkout_invalid_payment,"Invalid payment method: %s"
pchomepay_payment_checkout_invalid_order,"Invalid order"
pchomepay_payment_text_credit,"Credit"
pchomepay_payment_text_credit_3,"Credit(3 Installments)"
pchomepay_payment_text_credit_6,"Credit(6 Installments)"
pchomepay_payment_text_credit_12,"Credit(12 Installments)"
pchomepay_payment_text_card,"Credit Card"
pchomepay_payment_text_atm,"ATM"
pchomepay_payment_text_each,"EACH"
pchomepay_payment_text_acct,"PChomePay"
pchomepay_payment_order_comment_payment_method,"Payment Methods: %s"
pchomepay_payment_order_comment_payment_result,"Payment Result : (%s)%s"
pchomepay_payment_order_comment_atm,"Result : (%s)%s, Bank : %s, Virtual Account : %s, Deadline : %s"
pchomepay_payment_order_comment_cvs,"Result : (%s)%s, Trade Code : %s, Deadline : %s"
pchomepay_payment_order_comment_barcode,"Result : (%s)%s, Deadline : %s, BARCODE 1 : %s, BARCODE 2 : %s, BARCODE 3 : %s"
pchomepay_payment_order_comment_payment_failure,"Paid Failed, Error : %s"
